date,unix_dt,couvain,autre
2020-07-27T12:00:00.000+0000,1595851200,53.573,47:86:41
2020-07-26T12:00:00.000+0000,1595764800,56.176,47:86:41
2020-07-25T12:00:00.000+0000,1595678400,59.013,47:86:41
2020-07-24T12:00:00.000+0000,1595592000,61.473,47:86:41
2020-07-23T12:00:00.000+0000,1595505600,63.04,47:86:41
2020-07-22T12:00:00.000+0000,1595419200,62.388,47:86:41
2020-07-21T12:00:00.000+0000,1595332800,63.752,47:86:41
2020-07-20T12:00:00.000+0000,1595246400,65.588,47:86:41
2020-07-19T12:00:00.000+0000,1595160000,66.874,47:86:41
2020-07-18T12:00:00.000+0000,1595073600,69.106,47:86:41
2020-07-17T12:00:00.000+0000,1594987200,71.194,47:86:41
2020-07-16T12:00:00.000+0000,1594900800,73.231,47:86:41
2020-07-15T12:00:00.000+0000,1594814400,75.134,47:86:41
2020-07-14T12:00:00.000+0000,1594728000,76.685,47:86:41
2020-07-13T12:00:00.000+0000,1594641600,78.006,47:86:41
2020-07-12T12:00:00.000+0000,1594555200,79.157,47:86:41
2020-07-11T12:00:00.000+0000,1594468800,80.036,47:86:41
2020-07-10T12:00:00.000+0000,1594382400,80.085,47:86:41
2020-07-09T12:00:00.000+0000,1594296000,79.639,47:86:41
2020-07-08T12:00:00.000+0000,1594209600,79.513,47:86:41
2020-07-07T12:00:00.000+0000,1594123200,79.631,47:86:41
2020-07-06T12:00:00.000+0000,1594036800,80.093,47:86:41
2020-07-05T12:00:00.000+0000,1593950400,80.666,47:86:41
2020-07-04T12:00:00.000+0000,1593864000,81.81,47:86:41
2020-07-03T12:00:00.000+0000,1593777600,83.156,47:86:41
2020-07-02T12:00:00.000+0000,1593691200,85.071,47:86:41
2020-07-01T12:00:00.000+0000,1593604800,87.274,47:86:41
2020-06-30T12:00:00.000+0000,1593518400,89.302,47:86:41
2020-06-29T12:00:00.000+0000,1593432000,91.094,47:86:41
2020-06-28T12:00:00.000+0000,1593345600,92.885,47:86:41
2020-06-27T12:00:00.000+0000,1593259200,94.133,47:86:41
2020-06-26T12:00:00.000+0000,1593172800,94.842,47:86:41
2020-06-25T12:00:00.000+0000,1593086400,95,47:86:41
2020-06-24T12:00:00.000+0000,1593000000,95,47:86:41
2020-06-23T12:00:00.000+0000,1592913600,95,47:86:41
2020-06-22T12:00:00.000+0000,1592827200,94.879,47:86:41
2020-06-21T12:00:00.000+0000,1592740800,94.614,47:86:41
2020-06-20T12:00:00.000+0000,1592654400,94.39,47:86:41
2020-06-19T12:00:00.000+0000,1592568000,94.095,47:86:41
2020-06-18T12:00:00.000+0000,1592481600,93.477,47:86:41
2020-06-17T12:00:00.000+0000,1592395200,92.699,47:86:41
2020-06-16T12:00:00.000+0000,1592308800,92.038,47:86:41
2020-06-15T12:00:00.000+0000,1592222400,91.547,47:86:41
2020-06-14T12:00:00.000+0000,1592136000,91.246,47:86:41
2020-06-13T12:00:00.000+0000,1592049600,90.831,47:86:41
2020-06-12T12:00:00.000+0000,1591963200,90.647,47:86:41
2020-06-11T12:00:00.000+0000,1591876800,90.68,47:86:41
2020-06-10T12:00:00.000+0000,1591790400,90.847,47:86:41
