dt,temp,humidity,wind_speed,rain_1h,snow_1h
1610827200,5.54,81,1.54,0,0
1610830800,5.8,81,1.54,0,0
1610834400,6.5,76,1.54,0,0
1610838000,7.43,61,4.12,0,0
1610841600,6.95,71,2.57,0,0
1610845200,7.03,61,3.6,0,0
1610848800,7.26,61,4.63,0,0
1610852400,7.58,61,3.09,0,0
1610856000,8.38,57,3.6,0,0
1610859600,8.77,57,4.12,0,0
1610863200,8.69,71,4.12,0,0
1610866800,9.34,71,6.17,0,0
1610870400,9.33,76,5.66,0,0
1610874000,9.9,82,7.2,0,0
1610877600,9.7,93,5.14,0.88,0
1610881200,9.42,100,6.69,0,0
1610884800,9.44,100,6.17,0.33,0
1610888400,9.54,93,4.63,0.33,0
1610888400,9.54,93,4.63,0.33,0
1610892000,9.48,93,2.57,0,0
1610895600,8.82,93,3.6,0.23,0
1610895600,8.82,93,3.6,0.23,0
1610899200,7.72,93,3.09,0,0
1610902800,6.59,100,2.06,0,0
1610906400,6.13,93,1.03,0,0
1610910000,5.88,93,1.54,0,0
1610913600,5.62,87,2.57,0,0
1610917200,5.16,87,1.54,0,0
1610920800,5.22,87,1.03,0,0
1610924400,4.48,87,0.51,0,0
1610928000,4.04,87,2.15,0,0
1610931600,4.16,87,2.06,0,0
1610935200,3.52,93,1.54,0,0
1610938800,3,93,1.8,0,0
1610942400,2.8,93,0.51,0,0
1610946000,1.98,100,0.51,0,0
1610949600,1.2,100,1.03,0,0
1610953200,1.26,100,1.03,0,0
1610956800,1.12,100,1.03,0,0
1610960400,2.9,100,1.54,0,0
1610964000,5.66,81,2.06,0,0
1610967600,7.68,71,1.03,0,0
1610971200,8.1,71,1.54,0,0
1610974800,8.96,66,1.54,0,0
1610978400,9.6,58,1.03,0,0
1610982000,9.11,54,1.03,0,0
1610985600,7.79,66,1.54,0,0
1610989200,5.19,76,2.31,0,0
1610992800,3.07,87,1.03,0,0
1610996400,2,93,2.06,0,0
1611000000,1.6,100,2.06,0,0
1611003600,1.6,93,1.54,0,0
1611007200,1.28,93,3.09,0,0
1611010800,1.38,93,2.57,0,0
1611014400,0.71,93,1.54,0,0
1611018000,0.34,93,2.57,0,0
1611021600,0.74,93,2.57,0,0
1611025200,0.79,86,2.57,0,0
1611028800,0.34,93,2.57,0,0
1611032400,0.85,86,2.57,0,0
1611036000,0.92,80,2.06,0,0
1611039600,1.49,86,2.06,0,0
1611043200,2.85,80,2.06,0,0
1611046800,6.06,70,2.57,0,0
1611050400,9.03,57,2.06,0,0
1611054000,11.83,50,2.06,0,0
1611057600,13.19,44,3.09,0,0
1611061200,14.69,34,2.06,0,0
1611064800,15.74,30,0.51,0,0
1611068400,15.69,27,1.54,0,0
1611072000,14.08,48,1.54,0,0
1611075600,9.26,54,2.06,0,0
1611079200,6.98,71,1.03,0,0
1611082800,5.52,81,2.06,0,0
1611086400,4.98,75,2.06,0,0
1611090000,5.9,75,2.06,0,0
1611093600,5.22,75,3.09,0,0
1611097200,5.82,75,2.06,0,0
1611100800,7.12,65,2.06,0,0
1611104400,5.27,75,2.06,0,0
1611108000,5.28,75,1.54,0,0
1611111600,5.3,75,1.03,0,0
1611115200,5.28,75,1.54,0,0
1611118800,5.7,65,2.06,0,0
1611122400,4.78,65,0.51,0,0
1611126000,4.04,70,1.03,0,0
1611129600,5.06,61,2.57,0,0
1611133200,5.71,70,1.03,0,0
1611136800,7.38,57,3.6,0,0
1611140400,13.58,33,4.12,0,0
1611144000,13.89,33,7.72,0,0
1611147600,13.83,44,3.6,0,0
1611151200,13.11,44,3.09,0,0
1611154800,12.93,47,4.12,0,0
1611158400,11.85,50,2.06,0,0
1611162000,12.05,44,3.09,0,0
1611165600,11.88,47,2.57,0,0
1611169200,12.45,44,4.63,0,0
1611172800,12.19,44,5.14,0,0
1611176400,11.64,47,3.6,0,0
1611180000,10.28,58,2.06,0,0
1611183600,10.32,58,4.12,0,0
1611187200,8.98,58,4.12,0,0
1611190800,9.44,54,5.14,0,0
1611194400,8.68,58,5.14,0,0
1611198000,8.39,54,6.17,0,0
1611201600,8.68,58,4.63,0,0
1611205200,8.22,58,4.63,0,0
1611208800,8.46,58,1.54,0,0
1611212400,6.95,71,0.51,0,0
1611216000,8.85,58,8.23,0,0
1611219600,9.42,58,2.06,0,0
1611223200,11.42,62,3.09,0,0
1611226800,13.74,58,4.63,0,0
1611230400,14.6,51,4.12,0,0
1611234000,14.73,55,2.06,0,0
1611237600,13.61,55,7.2,0.5,0
1611241200,13.53,55,3.09,0,0
1611244800,13.2,51,5.14,0,0
1611248400,11.3,51,6.17,0,0
1611252000,11.79,47,5.14,0,0
1611255600,12.9,51,6.17,0,0
1611259200,12.65,48,7.72,0,0
1611262800,12.09,51,6.17,0,0
1611266400,13.61,44,8.75,0,0
1611270000,13.62,44,8.75,0,0
1611273600,11.88,48,7.2,0,0
1611277200,11.95,51,5.14,0,0
1611280800,12.75,51,5.14,0,0
1611284400,11.55,54,2.57,0,0
1611288000,10.92,62,1.54,0,0
1611291600,11.41,58,1.03,0,0
1611295200,10.65,67,10.8,0,0
1611298800,10.05,71,2.57,0,0
1611302400,7.31,93,7.2,1.19,0
1611306000,7.32,87,7.2,1.19,0
1611309600,7.7,87,7.2,1.19,0
1611313200,7.94,87,12.35,0,0
1611316800,8.21,93,12.86,8,0
1611320400,8.96,71,10.29,0,0
1611324000,7.85,87,6.69,0.31,0
1611327600,6.9,87,5.66,0.31,0
1611327600,6.9,87,5.66,0.31,0
1611331200,6.06,93,5.66,0,0
1611334800,4.48,87,4.12,0,0
1611338400,4.73,93,5.14,0,0
1611342000,4.8,87,6.69,0.5,0
1611345600,4.83,93,5.66,0,0
1611349200,6.5,87,6.69,0,0
1611352800,6.27,87,6.69,0.19,0
1611356400,4.9,87,6.69,0,0
1611360000,6.02,87,3.09,0.33,0
1611360000,6.02,87,3.09,0.33,0
1611363600,5.54,93,5.14,0.33,0
1611367200,5.1,93,1.03,0,0
1611370800,4.03,93,2.06,0,0
1611374400,4.15,87,2.57,0,0
1611378000,5.06,76,3.09,0,0
1611381600,6.62,66,4.63,0,0
1611385200,7.98,61,6.69,0,0
1611388800,8.92,57,7.2,0,0
